row_id,source_paper,case_class,location,valley_region,slope_angle_af_deg,failure_plane_dip_ap_deg,upper_slope_angle_as_deg,h_m,unit_weight_gamma_kNm3,friction_angle_phi_deg,cohesion_C_kPa,seismic_kh,loading_condition,saturation,water_fraction_or_pct,FoS,fos_method,cohesion_source,stability_class
11,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,70,63,0,105,26.68,17.44,55.03,0.0,static,dry,0.0,0.47,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
12,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,70,63,0,105,26.68,17.44,55.03,0.0,static,moderate,0.5,0.3,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
13,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,70,63,0,105,26.68,17.44,55.03,0.15,dynamic,dry,0.0,0.39,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
14,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,48,38,10,177,24.53,16.88,75.05,0.0,static,dry,0.0,0.54,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
15,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,48,38,10,177,24.53,16.88,75.05,0.0,static,moderate,0.5,0.35,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
16,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,48,38,10,177,24.53,16.88,75.05,0.15,dynamic,dry,0.0,0.41,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
17,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,48,38,10,177,24.53,16.88,75.05,0.15,dynamic,moderate,0.5,0.26,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
18,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,60,50,30,104,24.53,19.91,95.06,0.0,static,dry,0.0,0.45,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
19,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,60,50,30,104,24.53,19.91,95.06,0.15,dynamic,dry,0.0,0.35,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
20,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,192,25.51,16.48,138.03,0.0,static,dry,0.0,0.65,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
21,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,192,25.51,16.48,138.03,0.0,static,moderate,0.5,0.44,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
22,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,192,25.51,16.48,138.03,0.15,dynamic,dry,0.0,0.52,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
23,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,42,10,192,25.51,16.48,138.03,0.15,dynamic,moderate,0.5,0.34,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
24,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,59,46,10,237,25.51,31.32,187.57,0.0,static,dry,0.0,0.79,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
25,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,59,46,10,237,25.51,31.32,187.57,0.15,dynamic,dry,0.0,0.61,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
26,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,55,46,5,140,25.51,34.14,187.57,0.0,static,dry,0.0,1.26,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
27,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,55,46,5,140,25.51,34.14,187.57,0.0,static,moderate,0.5,0.6,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
28,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,55,46,5,140,25.51,34.14,187.57,0.0,static,full,0.75,0.42,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
29,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,55,46,5,140,25.51,34.14,187.57,0.15,dynamic,dry,0.0,1.01,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,critical
30,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,55,46,5,140,25.51,34.14,187.57,0.15,dynamic,moderate,0.5,0.45,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
31,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,40,20,252,27.47,26.25,130.08,0.0,static,dry,0.0,0.67,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
32,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,40,20,252,27.47,26.25,130.08,0.0,static,moderate,0.5,0.37,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
33,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,40,20,252,27.47,26.25,130.08,0.15,dynamic,dry,0.0,0.5,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
34,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,50,40,20,252,27.47,26.25,130.08,0.15,dynamic,moderate,0.5,0.27,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
35,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,58,53,0,160,26.98,40.0,98.1,0.0,static,dry,0.0,1.12,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
36,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Tons/Yamuna_Himalaya_India,Himalaya_India,58,53,0,160,26.98,40.0,98.1,0.15,dynamic,dry,0.0,0.88,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
37,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,75,41,17,50,24.03,39.7,105.07,0.0,static,dry,0.0,0.95,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,critical
38,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,75,41,17,50,24.03,39.7,105.07,0.0,static,moderate,0.5,0.3,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
39,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,75,41,17,50,24.03,39.7,105.07,0.08,dynamic,dry,0.0,0.81,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
40,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,74,59,20,50,24.03,45.7,112.52,0.0,static,dry,0.0,1.07,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
41,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,74,59,20,50,24.03,45.7,112.52,0.0,static,moderate,0.5,0.89,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
42,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,74,59,20,50,24.03,45.7,112.52,0.0,static,full,0.75,0.5,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
43,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,74,59,20,50,24.03,45.7,112.52,0.08,dynamic,dry,0.0,0.94,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
44,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,74,59,20,50,24.03,45.7,112.52,0.08,dynamic,moderate,0.5,0.66,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
45,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,74,59,20,50,24.03,45.7,112.52,0.08,dynamic,full,0.75,0.3,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
46,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,76,21,15,30,24.03,20.5,112.52,0.0,static,dry,0.0,1.01,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,critical
47,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,76,21,15,30,24.03,20.5,112.52,0.0,static,moderate,0.5,0.97,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,critical
48,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,76,21,15,30,24.03,20.5,112.52,0.0,static,full,0.75,0.88,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
49,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,76,21,15,30,24.03,20.5,112.52,0.08,dynamic,dry,0.0,0.81,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
50,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,76,21,15,30,24.03,20.5,112.52,0.08,dynamic,moderate,0.5,0.78,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
51,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,76,21,15,30,24.03,20.5,112.52,0.08,dynamic,full,0.75,0.72,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
52,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,78,39,26,50,24.03,13.5,75.05,0.0,static,dry,0.0,0.32,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
53,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,78,39,26,50,24.03,13.5,75.05,0.08,dynamic,dry,0.0,0.27,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
54,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,60,40,24,18,24.03,39.96,75.05,0.0,static,dry,0.0,1.29,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
55,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,60,40,24,18,24.03,39.96,75.05,0.0,static,moderate,0.5,0.94,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
56,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,60,40,24,18,24.03,39.96,75.05,0.0,static,full,0.75,0.45,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
57,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,60,40,24,18,24.03,39.96,75.05,0.08,dynamic,dry,0.0,1.12,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
58,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,60,40,24,18,24.03,39.96,75.05,0.08,dynamic,moderate,0.5,0.81,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
59,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,60,40,24,18,24.03,39.96,75.05,0.08,dynamic,full,0.75,0.37,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
60,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,57,46,20,19,28.35,37.8,72.01,0.0,static,dry,0.0,1.54,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
61,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,57,46,20,19,28.35,37.8,72.01,0.0,static,moderate,0.5,0.99,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,critical
62,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,57,46,20,19,28.35,37.8,72.01,0.0,static,full,0.75,0.33,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
63,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,57,46,20,19,28.35,37.8,72.01,0.08,dynamic,dry,0.0,1.37,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
64,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,57,46,20,19,28.35,37.8,72.01,0.08,dynamic,moderate,0.5,0.87,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
65,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,57,46,20,19,28.35,37.8,72.01,0.08,dynamic,full,0.75,0.27,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,unstable
66,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,72,54,27,11,24.03,43.89,60.04,0.0,static,dry,0.0,1.3,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
67,Raghuvanshi_2019_JKSUS_31_1254-1263,REAL,Omo-Gibe_Ethiopia,Omo-Gibe_Ethiopia,72,54,27,11,24.03,43.89,60.04,0.08,dynamic,dry,0.0,1.16,Sharma1995_modified_planar_LEM,RMR_derived_reduced_to_plane,stable
68,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,69,10,16,26.09,31.2,5.0,0.0,static,dry,0.0,0.54,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
69,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,69,10,16,26.09,31.2,5.0,0.0,static,saturated,0.75,0.26,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
70,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,69,10,16,26.09,31.2,5.0,0.07,dynamic,dry,0.0,0.47,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
71,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,56,10,16,26.09,32.7,6.97,0.0,static,dry,0.0,0.67,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
72,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,56,10,16,26.09,32.7,6.97,0.0,static,saturated,0.75,0.52,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
73,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,56,10,16,26.09,32.7,6.97,0.07,dynamic,dry,0.0,0.59,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
74,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,75,56,10,16,26.09,32.7,6.97,0.07,dynamic,saturated,0.75,0.44,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
75,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,86,67,8,12,24.82,39.78,16.97,0.0,static,dry,0.0,1.12,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,stable
76,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,86,67,8,12,24.82,39.78,16.97,0.0,static,saturated,0.75,1.01,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,critical
77,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,86,67,8,12,24.82,39.78,16.97,0.07,dynamic,dry,0.0,1.02,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,critical
78,Abdela_2025_QSA_17_100273,REAL,Morka-Chencha_Ethiopia,Main_Ethiopian_Rift,86,67,8,12,24.82,39.78,16.97,0.07,dynamic,saturated,0.75,0.86,RocPlane_planar_LEM,Hoek-Brown_Rocdata_reduced_to_plane_BartonBandis,unstable
79,RocPlane_Verification_Manual_Rocscience_2022 | Hoek 2000,REAL,Sau_Mau_Ping_HongKong,verification_case,50,35,0,60,27.0,35,99.96,0.08,dynamic,dry,0,0.8184,RocPlane_planar_LEM,textbook_specified,unstable
80,RocPlane_Verification_Manual_Rocscience_2022 | Hoek 2000,REAL,Sau_Mau_Ping_HongKong,verification_case,50,35,0,60,27.0,35,99.96,0.08,dynamic,saturated,0.90,1.0655,RocPlane_planar_LEM,textbook_specified,stable
81,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,0,60,25.51,45,117.72,0.0,static,saturated,0.74,1.57049,RocPlane_planar_LEM,textbook_specified,stable
82,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,10,60,25.51,45,117.72,0.0,static,saturated,0.62,1.56472,RocPlane_planar_LEM,textbook_specified,stable
83,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,15,60,25.51,45,117.72,0.0,static,saturated,0.58,1.55308,RocPlane_planar_LEM,textbook_specified,stable
84,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,20,60,25.51,45,117.72,0.0,static,saturated,0.53,1.55761,RocPlane_planar_LEM,textbook_specified,stable
85,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,25,60,25.51,45,117.72,0.0,static,saturated,0.49,1.55549,RocPlane_planar_LEM,textbook_specified,stable
86,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,30,60,25.51,45,117.72,0.0,static,saturated,0.46,1.5437,RocPlane_planar_LEM,textbook_specified,stable
87,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,0,60,25.51,45,117.72,0.0,static,saturated,0.87,1.5831,RocPlane_planar_LEM,textbook_specified,stable
88,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,10,60,25.51,45,117.72,0.0,static,saturated,0.73,1.57812,RocPlane_planar_LEM,textbook_specified,stable
89,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,15,60,25.51,45,117.72,0.0,static,saturated,0.68,1.56995,RocPlane_planar_LEM,textbook_specified,stable
90,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,20,60,25.51,45,117.72,0.0,static,saturated,0.63,1.56679,RocPlane_planar_LEM,textbook_specified,stable
91,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,25,60,25.51,45,117.72,0.0,static,saturated,0.58,1.56812,RocPlane_planar_LEM,textbook_specified,stable
92,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,30,60,25.51,45,117.72,0.0,static,saturated,0.54,1.56231,RocPlane_planar_LEM,textbook_specified,stable
93,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,0,60,25.51,45,117.72,0.0,static,saturated,0.100,1.58612,RocPlane_planar_LEM,textbook_specified,stable
94,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,10,60,25.51,45,117.72,0.0,static,saturated,0.84,1.58148,RocPlane_planar_LEM,textbook_specified,stable
95,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,15,60,25.51,45,117.72,0.0,static,saturated,0.77,1.58373,RocPlane_planar_LEM,textbook_specified,stable
96,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,20,60,25.51,45,117.72,0.0,static,saturated,0.71,1.58382,RocPlane_planar_LEM,textbook_specified,stable
97,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,25,60,25.51,45,117.72,0.0,static,saturated,0.66,1.57957,RocPlane_planar_LEM,textbook_specified,stable
98,RocPlane_Verification_Manual_Rocscience_2022 | Sharma et al. 1995,TEXTBOOK,Sharma1995_hypothetical,verification_case,50,35,30,60,25.51,45,117.72,0.0,static,saturated,0.61,1.57849,RocPlane_planar_LEM,textbook_specified,stable
99,RocPlane_Verification_Manual_Rocscience_2022 | Froldi 1996,TEXTBOOK,Froldi_HoekBray_hypothetical,verification_case,70,35,0,1,25.51,30,9.81,0.0,static,saturated,0.100,3.02169,RocPlane_planar_LEM,textbook_specified,stable
101,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,20,26.98,40,98.1,0.0,static,saturated,0.100,4.64392,RocPlane_planar_LEM,textbook_specified,stable
102,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,20,26.98,40,98.1,0.0,static,saturated,0.50,4.88666,RocPlane_planar_LEM,textbook_specified,stable
103,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,20,26.98,40,98.1,0.0,static,dry,0.0,5.06271,RocPlane_planar_LEM,textbook_specified,stable
