slope_angle_deg,bedding_dip_deg,joint_spacing_m,slope_height_m,joint_friction_deg,unit_weight_kNm3,water_ratio,FoS,data_origin,usable_for_training
49.68,72.13,9.939,36.65,25.44,25.24,0.189,1.416,synthetic_gb_solver,pretrain_only
60.67,74.18,4.251,42.76,36.44,24.42,0.409,0.754,synthetic_gb_solver,pretrain_only
65.45,74.62,5.474,37.62,38.72,24.4,0.298,0.887,synthetic_gb_solver,pretrain_only
70.51,66.61,9.706,28.23,42.41,23.44,0.351,1.224,synthetic_gb_solver,pretrain_only
80.0,66.73,3.969,27.85,40.22,24.55,0.311,0.866,synthetic_gb_solver,pretrain_only
64.22,59.6,3.408,36.42,25.45,23.04,0.005,0.503,synthetic_gb_solver,pretrain_only
48.38,70.51,11.517,51.17,27.42,24.61,0.299,0.946,synthetic_gb_solver,pretrain_only
74.82,66.61,10.525,55.01,25.81,24.79,0.099,0.52,synthetic_gb_solver,pretrain_only
60.19,70.31,7.421,34.68,29.26,23.35,0.532,0.657,synthetic_gb_solver,pretrain_only
59.94,74.48,10.913,53.75,35.9,24.12,0.004,1.42,synthetic_gb_solver,pretrain_only
56.88,69.66,7.789,31.21,35.04,24.71,0.145,1.391,synthetic_gb_solver,pretrain_only
57.78,65.12,9.665,59.79,28.05,26.08,0.131,0.643,synthetic_gb_solver,pretrain_only
59.12,63.64,4.58,31.28,31.66,23.13,0.038,0.716,synthetic_gb_solver,pretrain_only
65.92,62.39,8.229,27.44,26.47,26.72,0.503,0.625,synthetic_gb_solver,pretrain_only
69.04,59.66,4.287,16.98,25.15,26.65,0.186,0.54,synthetic_gb_solver,pretrain_only
52.92,70.8,5.145,35.36,32.51,24.68,0.184,0.815,synthetic_gb_solver,pretrain_only
50.98,74.18,4.73,24.14,33.13,26.4,0.056,1.311,synthetic_gb_solver,pretrain_only
56.05,66.74,2.616,8.98,23.87,26.92,0.087,0.814,synthetic_gb_solver,pretrain_only
59.37,67.82,4.86,35.28,31.13,23.69,0.121,0.674,synthetic_gb_solver,pretrain_only
58.71,72.9,3.225,12.15,29.36,23.99,0.154,1.732,synthetic_gb_solver,pretrain_only
70.5,56.5,8.724,37.83,28.59,26.58,0.512,0.579,synthetic_gb_solver,pretrain_only
64.86,73.52,6.997,37.56,44.08,25.85,0.129,1.268,synthetic_gb_solver,pretrain_only
60.46,71.47,8.169,59.91,26.15,25.78,0.2,0.526,synthetic_gb_solver,pretrain_only
70.99,55.33,7.764,41.75,30.73,24.98,0.313,0.623,synthetic_gb_solver,pretrain_only
69.13,71.96,8.868,41.59,42.61,23.61,0.248,1.107,synthetic_gb_solver,pretrain_only
64.98,63.45,11.507,23.32,24.09,25.49,0.063,0.877,synthetic_gb_solver,pretrain_only
74.58,60.96,8.918,25.77,34.37,24.69,0.634,0.739,synthetic_gb_solver,pretrain_only
63.15,70.88,9.318,43.35,39.52,23.04,0.1,1.014,synthetic_gb_solver,pretrain_only
71.47,67.21,9.59,55.69,44.31,23.94,0.273,1.015,synthetic_gb_solver,pretrain_only
78.03,58.9,2.03,21.34,34.93,26.59,0.165,0.702,synthetic_gb_solver,pretrain_only
61.53,62.42,5.076,29.97,32.22,24.46,0.224,0.719,synthetic_gb_solver,pretrain_only
63.37,66.6,10.328,44.55,37.73,26.31,0.11,0.925,synthetic_gb_solver,pretrain_only
72.9,69.63,10.155,38.54,24.08,26.9,0.407,0.529,synthetic_gb_solver,pretrain_only
63.1,69.53,6.175,24.93,30.33,23.45,0.24,0.894,synthetic_gb_solver,pretrain_only
44.36,74.55,11.414,39.0,22.86,26.69,0.119,1.515,synthetic_gb_solver,pretrain_only
59.16,65.82,10.905,18.92,22.24,26.37,0.547,0.832,synthetic_gb_solver,pretrain_only
56.87,67.17,7.281,46.79,29.7,24.4,0.038,0.684,synthetic_gb_solver,pretrain_only
61.01,73.93,9.061,52.43,38.95,23.36,0.463,0.894,synthetic_gb_solver,pretrain_only
52.74,68.54,5.91,13.36,27.39,25.58,0.222,1.294,synthetic_gb_solver,pretrain_only
69.23,68.83,1.733,17.15,36.64,24.31,0.122,0.754,synthetic_gb_solver,pretrain_only
69.94,57.41,11.49,39.37,29.95,25.27,0.378,0.645,synthetic_gb_solver,pretrain_only
66.38,63.52,4.925,29.19,30.88,23.27,0.008,0.644,synthetic_gb_solver,pretrain_only
77.24,62.48,4.144,22.74,26.07,25.71,0.118,0.505,synthetic_gb_solver,pretrain_only
73.11,63.79,6.772,21.21,29.39,26.06,0.508,0.641,synthetic_gb_solver,pretrain_only
75.53,66.95,9.78,40.36,32.97,26.92,0.275,0.737,synthetic_gb_solver,pretrain_only
56.74,61.95,7.72,34.36,24.74,26.53,0.415,0.598,synthetic_gb_solver,pretrain_only
61.72,56.76,5.714,37.36,23.91,23.95,0.126,0.511,synthetic_gb_solver,pretrain_only
63.88,67.32,7.35,26.26,29.69,24.84,0.363,0.784,synthetic_gb_solver,pretrain_only
61.53,63.24,10.221,56.17,30.93,24.56,0.161,0.692,synthetic_gb_solver,pretrain_only
56.01,69.67,6.072,25.72,29.02,24.34,0.32,0.916,synthetic_gb_solver,pretrain_only
63.52,74.51,11.001,58.81,37.02,25.58,0.418,0.936,synthetic_gb_solver,pretrain_only
66.68,71.53,10.188,37.86,33.48,23.86,0.179,1.848,synthetic_gb_solver,pretrain_only
67.03,71.68,5.969,46.31,32.3,23.05,0.377,0.651,synthetic_gb_solver,pretrain_only
66.35,69.95,7.677,33.55,36.23,26.99,0.389,0.833,synthetic_gb_solver,pretrain_only
77.1,63.74,8.168,34.6,35.46,23.97,0.625,0.75,synthetic_gb_solver,pretrain_only
58.96,69.07,8.343,21.59,37.62,26.42,0.258,1.961,synthetic_gb_solver,pretrain_only
56.78,70.18,4.707,32.74,34.59,24.68,0.438,0.784,synthetic_gb_solver,pretrain_only
47.15,74.49,11.706,52.25,23.37,24.3,0.549,0.785,synthetic_gb_solver,pretrain_only
52.88,67.08,5.247,44.53,29.02,24.94,0.195,0.682,synthetic_gb_solver,pretrain_only
62.38,57.43,7.445,17.85,27.57,23.67,0.091,0.724,synthetic_gb_solver,pretrain_only
60.31,71.22,10.828,38.39,33.37,26.15,0.204,1.616,synthetic_gb_solver,pretrain_only
63.87,69.76,9.765,43.18,22.65,24.03,0.234,0.576,synthetic_gb_solver,pretrain_only
77.04,74.43,5.532,42.71,39.47,24.85,0.159,0.895,synthetic_gb_solver,pretrain_only
67.53,63.68,2.857,27.11,32.58,24.33,0.177,0.651,synthetic_gb_solver,pretrain_only
68.2,59.47,10.847,19.25,23.59,26.39,0.602,0.606,synthetic_gb_solver,pretrain_only
72.73,66.39,6.854,24.34,28.92,25.01,0.149,0.684,synthetic_gb_solver,pretrain_only
70.79,66.45,9.057,31.77,31.98,25.46,0.344,0.825,synthetic_gb_solver,pretrain_only
78.04,69.25,4.64,23.51,27.78,25.05,0.236,0.586,synthetic_gb_solver,pretrain_only
68.7,71.98,6.473,31.57,44.59,26.15,0.087,1.241,synthetic_gb_solver,pretrain_only
63.59,74.84,7.793,41.77,43.22,24.2,0.632,1.016,synthetic_gb_solver,pretrain_only
79.21,64.43,9.46,39.97,40.28,25.29,0.616,0.885,synthetic_gb_solver,pretrain_only
78.81,61.73,9.399,34.27,39.31,26.98,0.299,0.88,synthetic_gb_solver,pretrain_only
61.86,63.28,5.395,29.32,25.05,24.19,0.655,0.504,synthetic_gb_solver,pretrain_only
65.68,74.74,7.766,37.86,40.73,23.99,0.224,1.776,synthetic_gb_solver,pretrain_only
71.74,69.42,5.299,32.87,43.96,26.57,0.061,1.03,synthetic_gb_solver,pretrain_only
63.21,58.29,7.645,25.49,30.97,26.61,0.531,0.716,synthetic_gb_solver,pretrain_only
66.82,64.8,6.009,42.21,26.3,24.18,0.52,0.508,synthetic_gb_solver,pretrain_only
76.11,64.94,9.492,44.29,40.06,25.09,0.049,0.893,synthetic_gb_solver,pretrain_only
49.79,72.27,5.925,29.41,25.04,23.35,0.147,0.842,synthetic_gb_solver,pretrain_only
64.83,62.21,10.117,33.28,27.5,23.07,0.366,0.65,synthetic_gb_solver,pretrain_only
48.62,70.48,3.873,15.02,25.64,26.1,0.555,0.89,synthetic_gb_solver,pretrain_only
70.54,57.92,5.977,54.1,38.41,25.13,0.208,0.813,synthetic_gb_solver,pretrain_only
56.46,72.76,3.202,30.89,33.7,25.89,0.354,0.714,synthetic_gb_solver,pretrain_only
52.3,69.06,5.149,21.5,24.6,23.46,0.419,0.74,synthetic_gb_solver,pretrain_only
68.06,61.98,6.125,13.48,35.84,24.47,0.546,1.063,synthetic_gb_solver,pretrain_only
63.12,66.86,2.1,7.47,27.13,24.71,0.269,0.796,synthetic_gb_solver,pretrain_only
52.73,67.27,8.185,14.78,23.71,25.77,0.372,1.005,synthetic_gb_solver,pretrain_only
79.44,56.69,11.609,36.67,35.87,26.26,0.098,0.771,synthetic_gb_solver,pretrain_only
50.54,69.55,8.864,49.87,27.47,24.78,0.507,0.703,synthetic_gb_solver,pretrain_only
75.91,58.08,4.628,22.83,30.42,25.62,0.043,0.604,synthetic_gb_solver,pretrain_only
58.99,65.48,4.363,42.82,32.42,26.3,0.051,0.696,synthetic_gb_solver,pretrain_only
72.51,69.87,7.705,48.72,38.0,24.35,0.208,0.828,synthetic_gb_solver,pretrain_only
66.77,59.61,10.235,36.39,25.33,25.41,0.004,0.553,synthetic_gb_solver,pretrain_only
61.82,62.32,6.252,42.25,33.53,23.91,0.574,0.702,synthetic_gb_solver,pretrain_only
65.23,68.12,6.848,28.63,28.15,25.37,0.307,0.661,synthetic_gb_solver,pretrain_only
59.89,64.28,10.844,55.45,31.98,26.03,0.69,0.703,synthetic_gb_solver,pretrain_only
56.8,73.71,2.675,29.73,30.8,25.0,0.396,0.618,synthetic_gb_solver,pretrain_only
60.01,61.03,7.752,31.81,30.53,23.98,0.177,0.758,synthetic_gb_solver,pretrain_only
61.75,60.78,8.329,33.46,29.96,24.45,0.475,0.69,synthetic_gb_solver,pretrain_only
53.37,74.32,11.747,39.22,24.87,25.83,0.486,1.422,synthetic_gb_solver,pretrain_only
79.29,61.93,2.779,19.48,40.28,23.12,0.133,0.862,synthetic_gb_solver,pretrain_only
59.32,74.49,11.195,47.67,29.68,23.41,0.284,1.807,synthetic_gb_solver,pretrain_only
66.14,67.74,5.046,12.28,30.47,25.42,0.671,0.877,synthetic_gb_solver,pretrain_only
54.22,74.1,5.109,36.65,37.83,26.05,0.405,0.911,synthetic_gb_solver,pretrain_only
57.65,74.27,7.224,17.76,27.05,23.42,0.374,1.704,synthetic_gb_solver,pretrain_only
59.15,70.42,4.473,22.99,27.25,24.29,0.099,0.677,synthetic_gb_solver,pretrain_only
55.81,73.06,9.475,27.18,26.27,25.12,0.356,1.532,synthetic_gb_solver,pretrain_only
63.55,58.07,5.315,16.93,29.04,25.07,0.281,0.699,synthetic_gb_solver,pretrain_only
78.98,60.32,6.02,34.78,36.6,25.83,0.231,0.761,synthetic_gb_solver,pretrain_only
53.64,73.79,9.706,19.63,28.73,25.48,0.109,1.878,synthetic_gb_solver,pretrain_only
56.15,74.25,10.087,22.32,24.91,23.71,0.231,1.612,synthetic_gb_solver,pretrain_only
63.54,72.94,2.505,26.57,36.7,25.66,0.343,0.757,synthetic_gb_solver,pretrain_only
62.3,61.23,10.278,33.26,29.27,23.68,0.351,0.748,synthetic_gb_solver,pretrain_only
62.05,70.48,10.77,42.29,35.7,26.05,0.485,0.995,synthetic_gb_solver,pretrain_only
61.67,68.36,9.387,43.67,28.04,23.96,0.27,0.662,synthetic_gb_solver,pretrain_only
56.31,67.22,6.777,39.85,24.7,26.11,0.361,0.562,synthetic_gb_solver,pretrain_only
65.75,73.51,9.453,48.6,28.0,24.58,0.594,0.568,synthetic_gb_solver,pretrain_only
63.76,61.84,1.125,11.99,34.12,23.91,0.177,0.709,synthetic_gb_solver,pretrain_only
63.28,68.31,4.269,26.09,25.39,26.3,0.431,0.505,synthetic_gb_solver,pretrain_only
67.23,70.04,3.303,22.58,42.31,26.79,0.188,0.961,synthetic_gb_solver,pretrain_only
70.5,57.1,11.365,46.41,31.3,26.73,0.252,0.666,synthetic_gb_solver,pretrain_only
63.9,70.27,8.884,59.78,37.86,25.41,0.012,0.823,synthetic_gb_solver,pretrain_only
76.02,62.99,6.366,25.35,33.97,26.84,0.525,0.702,synthetic_gb_solver,pretrain_only
59.88,59.61,6.106,34.88,26.99,26.48,0.093,0.611,synthetic_gb_solver,pretrain_only
49.23,72.25,9.782,48.37,31.2,24.91,0.324,1.091,synthetic_gb_solver,pretrain_only
70.25,74.91,5.254,27.32,38.57,23.75,0.406,1.115,synthetic_gb_solver,pretrain_only
66.48,69.74,11.033,39.44,30.43,25.01,0.596,0.675,synthetic_gb_solver,pretrain_only
52.46,73.62,2.482,20.82,34.04,23.6,0.658,0.712,synthetic_gb_solver,pretrain_only
69.73,68.39,7.955,42.15,38.94,23.61,0.484,0.854,synthetic_gb_solver,pretrain_only
64.14,63.8,5.816,47.59,34.43,23.44,0.207,0.725,synthetic_gb_solver,pretrain_only
72.68,59.38,9.107,25.02,25.57,23.58,0.558,0.557,synthetic_gb_solver,pretrain_only
59.87,65.89,8.928,19.01,33.78,24.63,0.584,1.276,synthetic_gb_solver,pretrain_only
55.55,74.11,3.084,16.66,24.28,25.8,0.368,0.612,synthetic_gb_solver,pretrain_only
68.39,71.39,3.491,20.74,30.95,23.23,0.34,0.656,synthetic_gb_solver,pretrain_only
53.58,70.8,6.093,45.32,25.78,25.31,0.1,0.59,synthetic_gb_solver,pretrain_only
56.71,70.65,10.017,23.41,28.53,23.83,0.105,1.541,synthetic_gb_solver,pretrain_only
52.63,68.14,4.97,52.58,25.85,25.56,0.009,0.577,synthetic_gb_solver,pretrain_only
77.08,67.05,1.74,14.84,40.12,23.33,0.01,0.857,synthetic_gb_solver,pretrain_only
56.06,74.99,9.355,42.11,25.15,26.82,0.647,0.665,synthetic_gb_solver,pretrain_only
56.15,72.92,8.724,55.93,38.12,26.08,0.259,0.956,synthetic_gb_solver,pretrain_only
50.82,74.35,6.358,32.26,27.11,26.52,0.409,0.825,synthetic_gb_solver,pretrain_only
57.73,74.86,11.799,43.49,41.45,24.21,0.592,1.604,synthetic_gb_solver,pretrain_only
63.33,71.78,4.305,11.44,24.0,26.52,0.509,1.168,synthetic_gb_solver,pretrain_only
60.05,73.8,1.714,10.5,42.61,24.51,0.265,1.066,synthetic_gb_solver,pretrain_only
62.97,67.29,4.905,20.7,25.07,24.74,0.632,0.535,synthetic_gb_solver,pretrain_only
53.35,71.34,2.585,32.56,29.93,24.49,0.065,0.636,synthetic_gb_solver,pretrain_only
50.01,74.16,9.426,25.78,27.39,26.81,0.054,1.824,synthetic_gb_solver,pretrain_only
74.71,67.91,8.623,36.68,24.7,23.21,0.45,0.512,synthetic_gb_solver,pretrain_only
68.08,66.4,8.388,40.83,28.62,26.16,0.559,0.572,synthetic_gb_solver,pretrain_only
59.19,69.27,2.476,15.78,37.09,25.36,0.367,0.863,synthetic_gb_solver,pretrain_only
54.28,73.58,8.176,32.0,27.24,23.17,0.009,1.633,synthetic_gb_solver,pretrain_only
61.65,69.22,2.8,12.97,24.11,25.58,0.462,0.52,synthetic_gb_solver,pretrain_only
71.66,72.24,11.141,43.99,44.36,24.16,0.583,1.101,synthetic_gb_solver,pretrain_only
59.33,63.78,10.321,26.22,25.56,26.28,0.422,0.809,synthetic_gb_solver,pretrain_only
64.95,68.71,8.177,40.1,39.79,25.8,0.32,0.941,synthetic_gb_solver,pretrain_only
63.58,70.1,1.538,11.38,40.08,23.38,0.019,0.881,synthetic_gb_solver,pretrain_only
70.28,74.82,8.515,49.78,37.57,25.77,0.13,0.945,synthetic_gb_solver,pretrain_only
73.71,66.76,6.077,50.9,40.32,23.18,0.018,0.864,synthetic_gb_solver,pretrain_only
70.43,57.34,4.331,27.99,25.85,24.11,0.015,0.506,synthetic_gb_solver,pretrain_only
51.25,68.16,9.096,28.83,24.07,25.93,0.342,0.95,synthetic_gb_solver,pretrain_only
78.33,73.42,1.139,7.03,39.58,25.31,0.014,0.954,synthetic_gb_solver,pretrain_only
72.46,55.89,3.353,18.58,37.58,24.41,0.127,0.803,synthetic_gb_solver,pretrain_only
61.1,70.72,2.917,10.12,25.59,25.24,0.584,0.643,synthetic_gb_solver,pretrain_only
69.92,69.93,3.116,16.6,42.85,25.23,0.651,0.96,synthetic_gb_solver,pretrain_only
55.64,70.05,7.19,43.09,25.57,23.71,0.15,0.608,synthetic_gb_solver,pretrain_only
59.76,62.25,4.374,21.16,27.27,24.48,0.516,0.605,synthetic_gb_solver,pretrain_only
71.88,58.67,8.111,57.09,40.03,25.01,0.372,0.857,synthetic_gb_solver,pretrain_only
52.41,71.34,1.128,6.82,33.71,24.81,0.107,0.921,synthetic_gb_solver,pretrain_only
61.31,63.51,5.846,54.52,25.6,26.46,0.377,0.512,synthetic_gb_solver,pretrain_only
75.33,68.49,6.944,41.84,35.38,26.33,0.358,0.754,synthetic_gb_solver,pretrain_only
70.55,57.46,11.015,28.55,31.4,23.02,0.172,0.76,synthetic_gb_solver,pretrain_only
66.26,61.9,11.314,51.95,34.06,26.54,0.235,0.762,synthetic_gb_solver,pretrain_only
68.76,64.93,10.197,29.82,22.11,25.99,0.62,0.531,synthetic_gb_solver,pretrain_only
52.44,65.86,11.272,23.83,22.4,25.0,0.068,0.918,synthetic_gb_solver,pretrain_only
77.59,74.12,4.529,44.98,34.61,23.74,0.142,0.723,synthetic_gb_solver,pretrain_only
77.47,69.14,2.541,18.37,26.28,26.28,0.405,0.508,synthetic_gb_solver,pretrain_only
63.04,65.75,11.806,51.32,31.57,23.99,0.455,0.732,synthetic_gb_solver,pretrain_only
49.03,74.68,3.25,41.61,27.4,25.07,0.316,0.594,synthetic_gb_solver,pretrain_only
52.14,72.76,7.175,46.06,31.87,24.53,0.247,0.827,synthetic_gb_solver,pretrain_only
49.41,74.46,3.39,28.99,33.24,23.17,0.391,0.804,synthetic_gb_solver,pretrain_only
78.64,60.68,8.774,34.81,40.83,25.18,0.237,0.931,synthetic_gb_solver,pretrain_only
65.7,73.72,2.912,39.69,34.85,25.39,0.29,0.703,synthetic_gb_solver,pretrain_only
70.47,58.21,6.103,20.18,35.2,26.92,0.221,0.823,synthetic_gb_solver,pretrain_only
64.45,65.59,3.58,32.59,30.37,25.08,0.397,0.603,synthetic_gb_solver,pretrain_only
69.0,56.35,8.437,26.74,33.92,26.14,0.28,0.778,synthetic_gb_solver,pretrain_only
72.51,62.12,11.065,32.5,32.28,26.28,0.076,0.792,synthetic_gb_solver,pretrain_only
65.74,62.84,3.983,35.8,26.06,25.1,0.348,0.507,synthetic_gb_solver,pretrain_only
58.84,68.86,8.246,46.18,25.48,26.5,0.463,0.555,synthetic_gb_solver,pretrain_only
66.71,68.99,1.622,10.36,36.67,23.93,0.407,0.78,synthetic_gb_solver,pretrain_only
59.5,66.78,1.288,12.62,26.18,23.37,0.014,0.529,synthetic_gb_solver,pretrain_only
70.68,66.04,9.59,45.35,44.07,24.69,0.58,1.01,synthetic_gb_solver,pretrain_only
59.5,73.68,4.175,28.09,43.14,23.21,0.294,1.05,synthetic_gb_solver,pretrain_only
69.25,67.28,11.088,46.85,36.25,25.28,0.428,0.838,synthetic_gb_solver,pretrain_only
79.43,67.47,5.87,36.43,43.65,24.62,0.013,1.001,synthetic_gb_solver,pretrain_only
61.55,73.86,10.42,46.36,34.62,23.03,0.484,0.908,synthetic_gb_solver,pretrain_only
59.39,63.56,8.75,26.92,31.9,24.87,0.55,0.876,synthetic_gb_solver,pretrain_only
48.47,74.92,6.381,49.73,27.59,23.13,0.051,0.725,synthetic_gb_solver,pretrain_only
64.9,62.39,7.402,35.94,25.79,25.2,0.029,0.548,synthetic_gb_solver,pretrain_only
71.94,61.56,9.632,29.47,24.66,23.81,0.349,0.579,synthetic_gb_solver,pretrain_only
53.81,66.43,11.941,51.79,24.19,24.92,0.616,0.59,synthetic_gb_solver,pretrain_only
70.29,62.25,5.392,21.73,32.62,24.52,0.492,0.689,synthetic_gb_solver,pretrain_only
74.99,64.54,8.13,36.2,39.71,23.75,0.441,0.874,synthetic_gb_solver,pretrain_only
54.39,70.23,9.205,32.47,25.82,25.59,0.121,1.26,synthetic_gb_solver,pretrain_only
54.0,70.07,8.621,31.81,23.86,23.97,0.243,0.983,synthetic_gb_solver,pretrain_only
72.61,73.49,6.145,34.72,30.15,23.9,0.084,0.661,synthetic_gb_solver,pretrain_only
71.23,65.4,9.727,45.41,31.94,24.91,0.167,0.668,synthetic_gb_solver,pretrain_only
64.12,69.71,9.88,59.38,39.7,24.15,0.219,0.892,synthetic_gb_solver,pretrain_only
56.66,66.51,7.08,40.8,27.7,26.94,0.183,0.653,synthetic_gb_solver,pretrain_only
48.91,74.55,8.841,12.25,27.91,24.54,0.473,1.807,synthetic_gb_solver,pretrain_only
49.99,74.45,5.138,26.53,33.69,26.9,0.65,0.904,synthetic_gb_solver,pretrain_only
62.75,62.68,11.068,32.19,22.67,24.93,0.048,0.599,synthetic_gb_solver,pretrain_only
55.22,72.57,9.843,44.96,24.07,26.32,0.482,0.656,synthetic_gb_solver,pretrain_only
55.16,69.57,10.722,47.4,22.34,26.34,0.23,0.672,synthetic_gb_solver,pretrain_only
56.79,66.62,8.255,34.64,32.31,24.1,0.433,0.846,synthetic_gb_solver,pretrain_only
68.37,65.67,6.402,20.11,30.38,24.87,0.084,1.101,synthetic_gb_solver,pretrain_only
70.86,74.59,9.406,56.71,36.49,25.46,0.367,0.838,synthetic_gb_solver,pretrain_only
58.19,73.98,6.698,40.39,31.76,26.43,0.101,0.831,synthetic_gb_solver,pretrain_only
71.38,63.68,10.418,47.14,32.76,25.62,0.498,0.677,synthetic_gb_solver,pretrain_only
64.21,68.68,3.588,9.25,38.23,24.95,0.393,1.841,synthetic_gb_solver,pretrain_only
67.04,61.15,5.565,16.48,37.14,23.55,0.407,0.938,synthetic_gb_solver,pretrain_only
63.15,67.03,3.457,56.03,28.74,26.99,0.284,0.555,synthetic_gb_solver,pretrain_only
67.98,65.66,11.531,34.71,38.82,23.76,0.35,1.439,synthetic_gb_solver,pretrain_only
74.88,67.53,6.718,24.64,37.27,26.33,0.658,0.813,synthetic_gb_solver,pretrain_only
66.74,62.99,5.62,13.81,32.95,26.26,0.268,1.182,synthetic_gb_solver,pretrain_only
73.8,73.17,7.289,38.56,39.99,24.38,0.022,1.08,synthetic_gb_solver,pretrain_only
58.74,73.2,4.849,36.85,26.38,25.39,0.138,0.545,synthetic_gb_solver,pretrain_only
56.75,74.22,4.477,24.27,25.73,26.08,0.203,0.744,synthetic_gb_solver,pretrain_only
71.91,60.82,4.999,40.87,26.31,25.9,0.378,0.501,synthetic_gb_solver,pretrain_only
68.26,74.31,11.097,59.84,44.26,24.53,0.071,1.33,synthetic_gb_solver,pretrain_only
79.07,55.11,5.703,39.48,36.84,26.59,0.377,0.755,synthetic_gb_solver,pretrain_only
67.57,67.42,8.662,36.51,24.94,25.75,0.247,0.528,synthetic_gb_solver,pretrain_only
67.58,62.47,7.076,57.9,26.18,24.49,0.496,0.501,synthetic_gb_solver,pretrain_only
74.79,65.9,7.115,46.79,44.54,25.92,0.386,1.007,synthetic_gb_solver,pretrain_only
72.97,64.98,6.263,18.68,37.39,25.43,0.455,0.884,synthetic_gb_solver,pretrain_only
67.68,66.59,2.154,9.44,28.13,24.4,0.511,0.583,synthetic_gb_solver,pretrain_only
70.76,69.36,5.883,49.48,34.42,25.22,0.106,0.702,synthetic_gb_solver,pretrain_only
68.07,68.89,5.482,28.99,27.72,26.44,0.09,0.565,synthetic_gb_solver,pretrain_only
77.23,73.61,6.81,45.19,36.7,25.47,0.689,0.778,synthetic_gb_solver,pretrain_only
64.25,71.74,10.846,37.68,42.62,26.93,0.33,1.929,synthetic_gb_solver,pretrain_only
61.88,69.74,6.686,19.1,33.69,24.22,0.135,1.717,synthetic_gb_solver,pretrain_only
54.52,70.72,3.215,6.77,26.4,23.7,0.513,1.28,synthetic_gb_solver,pretrain_only
49.54,72.5,8.608,16.62,28.4,23.37,0.234,1.687,synthetic_gb_solver,pretrain_only
58.81,70.6,10.945,38.37,28.05,23.64,0.402,1.258,synthetic_gb_solver,pretrain_only
73.51,64.26,11.15,45.46,29.53,25.58,0.217,0.614,synthetic_gb_solver,pretrain_only
58.01,69.98,4.186,21.29,28.02,24.44,0.355,0.673,synthetic_gb_solver,pretrain_only
60.45,69.9,11.601,41.99,23.68,23.08,0.215,0.992,synthetic_gb_solver,pretrain_only
66.45,70.66,8.121,49.15,30.08,26.46,0.011,0.637,synthetic_gb_solver,pretrain_only
64.87,55.24,8.953,30.01,23.54,25.36,0.116,0.518,synthetic_gb_solver,pretrain_only
59.64,74.19,2.287,9.71,30.04,25.09,0.18,1.868,synthetic_gb_solver,pretrain_only
