case_id,dip_j1,dipdir_j1,dip_j2,dipdir_j2,dip_slope,dipdir_slope,dip_upper,dipdir_upper,height_m,gamma_kN_m3,c1_kPa,phi1_deg,c2_kPa,phi2_deg,w_pct,water_condition,u_kPa,psi_i_deg,alpha_i_deg,delta_alpha_deg,wedge_volume_m3,weight_kN,area_j1_m2,area_j2_m2,N1_kN,N2_kN,driving_kN,resisting_kN,failure_mode,FoS,data_origin,usable_for_training,solver_verified_against,fos_band
WS0012,51.04,8.32,62.1,133.67,68.69,49.04,6.56,46.0,14.19,23.912,41.13,31.69,12.19,33.83,12.94,wet,18.017,34.352,65.078,16.043,689.53,16487.91,229.63,129.07,7176.36,6491.48,9303.68,19799.03,joints12,2.1281,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0013,41.19,106.05,43.41,177.63,69.45,119.59,12.51,110.51,35.82,22.676,16.42,33.49,8.8,27.94,2.64,wet,9.284,36.387,139.142,19.551,41403.05,938873.26,5529.89,1166.13,400128.75,358947.5,556975.88,556247.7,joints12,0.9987,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0014,46.34,153.76,42.63,243.77,57.21,194.79,4.49,199.58,34.96,26.372,3.38,25.87,40.52,29.82,16.15,wet,55.372,34.452,202.667,7.881,10087.96,266041.61,1120.39,1045.73,51343.53,80236.81,150502.35,117042.26,joints12,0.7777,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0015,39.81,52.11,62.07,129.36,74.15,79.74,12.78,70.68,36.74,23.227,19.91,36.95,24.47,33.05,12.61,wet,45.436,38.958,65.294,14.45,26620.2,618294.72,3000.42,1152.32,303211.75,23645.02,388756.4,331368.99,joints12,0.8524,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0016,67.62,112.92,46.98,206.6,48.81,171.2,6.9,184.66,30.66,26.05,31.17,35.23,46.52,32.64,0.0,dry,0.0,43.44,180.323,9.127,353.15,9199.44,115.07,216.97,2202.91,5835.69,6325.45,18972.83,joints12,2.9994,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0017,64.82,171.52,53.43,217.66,71.85,211.07,9.65,223.61,21.93,25.093,36.25,36.95,43.88,25.63,0.0,dry,0.0,53.987,220.382,9.307,3826.28,96011.3,172.96,1516.04,0.0,56374.72,77717.83,93573.62,joint2,1.204,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0018,64.37,196.47,54.58,278.32,59.06,253.85,7.06,240.74,24.51,26.677,47.18,29.76,1.62,30.2,3.29,wet,7.903,51.287,250.413,3.436,306.26,8170.19,84.75,187.21,1417.67,2508.57,6375.07,6571.46,joints12,1.0308,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0019,55.12,100.17,46.12,188.33,57.61,160.54,12.79,173.99,18.6,24.706,22.27,35.36,23.77,34.93,10.57,wet,19.295,40.473,154.163,6.379,924.5,22840.37,146.01,345.16,4795.07,6069.12,14825.35,19096.04,joints12,1.2881,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0020,61.96,322.42,66.56,63.1,61.57,354.93,0.4,348.27,20.91,25.457,30.25,34.23,42.54,27.89,11.02,wet,22.601,52.652,7.323,12.394,131.85,3356.65,96.87,53.81,0.0,25.26,2744.88,2302.41,joint2,0.8388,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0021,60.92,181.79,45.74,253.45,54.99,221.58,15.67,227.07,12.02,25.889,11.39,37.73,38.14,28.46,11.69,wet,13.784,44.807,237.778,16.194,66.05,1709.88,37.49,59.32,0.0,98.92,1223.84,2316.47,joint2,1.8928,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0022,39.11,57.65,66.84,163.88,65.3,95.41,17.97,90.79,32.16,23.268,19.13,28.13,49.99,34.33,24.42,wet,77.036,34.228,90.62,4.788,16009.3,372500.21,2305.87,979.01,96877.7,30627.48,209524.4,165759.35,joints12,0.7911,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0023,41.73,47.8,41.92,135.51,69.87,92.02,17.39,95.53,22.31,25.904,48.81,26.85,45.88,31.97,0.0,dry,0.0,32.359,91.49,0.531,9633.65,249547.88,1096.79,1159.54,120265.05,118353.21,133562.8,241485.61,joints12,1.808,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0024,69.33,351.86,58.08,122.3,58.67,44.68,5.2,48.55,23.15,22.813,35.4,33.46,46.54,39.84,5.85,wet,13.279,40.185,63.28,18.595,558.3,12736.56,192.55,173.48,4862.89,6779.28,8218.35,23758.37,joints12,2.8909,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0025,50.49,352.24,56.2,81.0,63.03,42.08,18.78,28.72,15.27,26.924,38.04,30.39,40.95,39.79,2.79,wet,4.174,43.523,31.461,10.623,447.63,12051.86,143.5,144.26,5375.51,3957.65,8299.43,17814.5,joints12,2.1465,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0026,56.69,146.97,57.57,266.43,61.84,211.77,12.04,212.77,27.52,25.633,20.33,31.3,13.74,36.07,11.19,wet,30.213,38.144,206.312,5.456,2643.34,67756.91,440.04,487.44,25723.84,23788.15,41849.01,48612.57,joints12,1.1616,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0027,35.79,198.84,46.78,271.02,56.08,222.88,14.92,215.67,33.05,23.932,26.04,26.23,33.73,27.75,0.0,dry,0.0,34.495,221.186,1.695,16962.77,405946.64,2658.62,1031.12,257324.24,100625.83,229903.73,283728.01,joints12,1.2341,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0028,55.01,148.35,70.64,277.55,65.2,217.59,13.41,211.47,12.09,22.018,23.99,28.07,5.99,26.67,25.37,wet,30.09,39.126,204.523,13.071,196.49,4326.34,89.32,82.88,486.17,0.0,2732.02,2402.03,joint1,0.8792,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0029,55.17,353.52,56.26,35.23,72.74,351.89,17.44,356.09,17.08,23.037,24.84,25.28,5.01,34.35,0.0,dry,0.0,53.466,10.113,18.219,20788.12,478888.85,11537.25,116.72,276610.63,0.0,390923.37,417271.55,joint1,1.0674,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0030,63.1,62.33,50.01,149.88,70.85,107.34,15.54,97.55,28.98,26.743,29.46,33.02,44.57,34.07,0.0,dry,0.0,46.259,120.625,13.286,3404.64,91051.42,475.75,544.71,24816.13,50464.19,65782.23,88545.45,joints12,1.346,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0031,55.44,139.14,42.07,228.58,60.6,179.68,8.16,181.87,20.18,22.615,43.1,27.83,33.29,28.56,0.94,wet,1.857,37.115,197.874,18.189,1510.68,34164.27,299.45,314.61,9950.63,20465.51,20615.17,39774.06,joints12,1.9294,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0032,68.83,290.48,51.21,19.23,63.68,357.7,2.95,357.69,19.02,25.808,8.0,37.7,4.23,27.91,4.22,wet,7.871,48.485,353.918,3.783,489.8,12640.7,81.59,239.34,2298.07,5338.84,9465.21,6268.99,joints12,0.6623,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0033,45.32,48.49,54.9,118.02,56.3,82.0,0.81,75.38,32.48,25.445,26.17,35.47,6.5,30.57,7.7,wet,24.525,43.412,68.8,13.204,2251.53,57290.61,492.65,410.04,20188.42,3128.68,39372.67,31786.39,joints12,0.8073,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0034,47.65,25.42,65.65,75.19,69.9,37.61,8.32,37.31,25.74,26.642,27.72,38.96,23.32,39.29,0.0,dry,0.0,47.353,14.788,22.82,4619.86,123080.18,1176.53,320.15,82540.56,0.0,91300.53,99362.46,joint1,1.0883,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0035,40.95,161.28,43.46,227.56,59.08,185.55,13.71,198.83,21.05,23.066,31.93,25.16,47.78,26.81,15.98,wet,32.99,37.122,190.762,5.21,3202.39,73866.85,660.0,466.58,13187.5,12945.7,44580.08,56103.81,joints12,1.2585,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0036,67.0,299.94,72.54,84.27,71.12,22.61,11.51,36.57,22.06,24.255,17.0,28.04,1.62,38.62,8.49,wet,18.375,40.08,9.301,13.312,965.51,23418.27,255.98,286.29,15796.21,13842.54,15078.06,24285.16,joints12,1.6106,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0037,65.56,37.22,69.71,185.66,60.94,97.32,15.97,95.07,20.19,23.176,25.1,29.31,5.39,27.01,4.17,wet,8.253,33.343,110.385,13.066,1018.01,23593.65,344.03,286.23,18827.16,18424.9,12968.11,30137.1,joints12,2.3239,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0038,70.79,15.83,50.28,109.04,64.81,60.58,12.69,54.77,9.44,26.319,33.75,39.95,28.66,30.69,18.98,wet,17.576,47.741,83.419,22.835,38.35,1009.42,26.73,30.32,0.0,32.54,783.31,888.15,joint2,1.1338,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0039,55.42,306.21,56.23,1.85,74.67,319.42,5.67,320.29,38.19,22.988,18.38,35.6,19.69,31.53,0.0,dry,0.0,52.255,332.672,13.257,11652.68,267876.23,1922.08,650.35,92946.67,84651.92,211820.16,166615.45,joints12,0.7866,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0040,35.91,243.21,67.08,343.89,58.61,286.12,4.25,273.03,38.57,26.082,20.02,27.88,1.18,35.01,0.0,dry,0.0,32.866,269.438,16.684,13748.09,358579.07,1797.63,901.94,273383.13,80448.28,194590.22,238039.8,joints12,1.2233,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0042,43.6,100.57,53.79,175.86,72.95,135.93,17.88,137.83,11.84,23.466,46.82,31.98,38.87,25.24,12.61,wet,14.638,40.43,125.003,10.925,711.46,16695.15,207.93,161.85,6664.59,2014.22,10827.04,21137.75,joints12,1.9523,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0043,55.81,345.65,44.66,38.89,70.45,28.93,2.53,42.89,37.27,24.343,24.46,33.38,41.23,36.93,0.0,dry,0.0,44.535,32.703,3.768,26312.18,640518.26,818.88,3945.17,53564.69,415351.31,449224.67,530203.37,joints12,1.1803,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0044,66.83,317.8,54.25,83.11,65.77,36.34,9.77,42.85,17.83,26.254,8.2,25.66,5.68,31.41,16.18,wet,28.304,38.461,28.378,7.965,778.46,20437.3,161.07,248.15,6385.7,7214.82,12711.58,10203.24,joints12,0.8027,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0045,51.26,153.6,59.76,223.97,65.91,175.28,1.37,187.5,21.92,23.319,24.73,39.2,46.59,33.53,11.89,wet,25.572,49.145,177.261,1.985,1121.69,26156.42,357.78,163.86,3563.31,2284.35,19783.77,20901.28,joints12,1.0565,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0046,48.85,156.37,45.2,249.12,69.77,215.21,1.71,226.16,8.93,22.268,1.99,39.06,27.95,25.59,0.94,wet,0.821,36.378,207.345,7.866,244.98,5455.18,62.25,101.82,2265.62,2765.86,3235.54,6132.19,joints12,1.8953,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0047,35.96,95.73,69.6,187.84,56.25,132.06,5.58,123.3,20.96,23.02,43.18,25.28,30.78,29.58,8.8,wet,18.083,34.225,112.428,19.636,1784.31,41074.78,508.41,221.44,22718.77,1930.32,23102.13,40592.91,joints12,1.7571,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0048,36.23,333.51,50.36,15.32,71.73,341.37,1.3,355.27,14.52,22.843,15.35,38.52,33.42,26.78,4.58,wet,6.525,35.641,322.477,18.897,3929.57,89763.72,1160.24,242.59,63629.42,0.0,53001.64,68464.49,joint1,1.2917,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0049,64.28,272.01,62.14,4.49,71.76,336.12,4.96,322.67,39.19,26.562,12.57,30.99,0.09,31.63,0.0,dry,0.0,53.678,319.302,16.82,3485.15,92571.92,373.72,716.62,34723.9,37072.42,74585.68,48452.49,joints12,0.6496,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0050,43.23,97.12,54.38,188.71,73.47,141.36,17.92,140.33,38.58,23.112,44.67,34.43,15.81,35.4,24.49,wet,92.707,37.923,132.31,9.047,27312.61,631251.23,2318.88,1868.88,151852.36,44592.18,387964.53,268925.55,joints12,0.6932,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0051,60.19,142.99,50.77,230.28,67.22,193.6,9.37,178.96,14.3,24.725,48.72,29.55,22.86,31.96,17.14,wet,24.045,45.395,197.182,3.577,365.27,9031.55,96.98,133.48,525.42,1551.05,6430.11,9042.69,joints12,1.4063,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0052,56.73,128.45,58.82,228.87,56.89,203.51,4.59,214.83,25.25,22.783,41.91,31.96,40.72,31.98,5.38,wet,13.316,45.004,176.414,27.092,384.81,8767.13,98.02,215.6,2960.4,1010.56,6199.74,15365.83,joints12,2.4785,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0053,45.82,357.76,44.42,72.03,60.96,13.23,1.05,12.44,25.14,22.415,3.14,32.67,20.88,25.9,0.0,dry,0.0,39.034,36.123,22.89,3748.21,84016.4,930.64,314.56,33888.98,38328.57,52912.43,49833.37,joints12,0.9418,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0054,41.55,26.17,71.45,143.87,62.46,95.81,10.43,100.2,26.07,23.007,40.73,33.78,11.26,26.79,7.08,wet,18.117,34.457,66.436,29.37,2417.37,55616.79,463.9,419.75,34155.39,12231.69,31467.02,52642.51,joints12,1.6729,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0055,39.38,159.31,30.89,204.35,50.83,206.25,14.45,216.05,21.34,22.603,25.33,25.52,5.11,28.73,8.66,wet,18.137,30.738,203.341,2.906,17493.84,395412.97,549.9,6093.19,0.0,238255.55,202208.39,161721.03,joint2,0.7998,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0056,45.97,183.9,45.85,296.44,45.46,217.3,1.89,228.84,15.02,22.642,35.02,28.42,45.62,30.78,7.25,wet,10.68,29.919,240.335,23.032,394.68,8936.22,185.79,103.16,2828.8,3700.64,4457.1,14948.42,joints12,3.3538,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0057,43.44,166.7,74.65,253.58,69.72,187.16,7.07,174.53,20.83,22.045,16.02,33.68,17.9,25.57,0.0,dry,0.0,42.828,179.199,7.961,2672.68,58919.25,736.16,188.44,41278.65,6682.79,40053.12,45875.51,joints12,1.1454,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0058,37.83,129.48,73.74,217.31,57.55,151.79,11.94,160.75,39.31,23.502,46.25,27.94,30.14,29.16,9.26,wet,35.718,37.263,140.861,10.932,13425.86,315539.45,2351.84,671.23,157710.0,7555.77,191051.83,216857.89,joints12,1.1351,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0059,72.71,241.88,40.09,353.98,48.18,301.48,14.02,294.24,39.89,24.031,8.85,32.33,39.14,25.05,0.0,dry,0.0,34.711,319.048,17.568,3736.14,89783.86,533.87,850.85,26693.0,68784.18,51126.69,87068.14,joints12,1.703,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0060,34.04,332.82,57.61,44.99,50.05,5.45,6.09,18.83,19.79,25.082,48.99,31.72,17.66,28.18,20.3,wet,39.412,33.941,339.842,25.611,911.15,22853.66,323.78,192.73,1681.9,0.0,13623.29,16900.2,joint1,1.2405,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0061,45.67,144.61,57.08,229.34,72.15,203.03,13.62,210.63,10.75,22.448,45.39,36.2,6.03,38.47,16.78,wet,17.692,41.264,174.637,28.396,288.42,6474.58,73.81,125.19,2294.88,0.0,4277.38,5030.6,joint1,1.1761,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0062,46.43,79.77,48.29,166.5,66.04,125.12,9.86,110.37,35.88,24.911,27.91,29.7,45.85,33.08,0.82,wet,2.889,38.282,120.997,4.123,12963.26,322930.56,1237.71,1227.15,149261.72,137977.22,200067.35,265800.89,joints12,1.3286,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0063,48.36,57.64,45.48,136.88,68.96,120.52,9.23,129.57,23.8,26.588,9.23,30.83,13.03,34.12,0.0,dry,0.0,39.474,100.737,19.78,6320.14,168037.18,356.4,1381.69,64751.92,81103.47,106827.04,114906.23,joints12,1.0756,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0064,75.3,256.05,39.89,351.44,56.33,325.67,18.69,319.62,30.44,23.582,27.51,29.61,20.53,29.71,0.55,wet,1.635,38.672,334.268,8.597,4652.06,109704.31,384.95,1172.71,15666.77,79746.2,68550.36,89072.63,joints12,1.2994,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0065,45.26,323.15,52.57,56.16,71.51,353.54,12.62,358.9,35.64,26.117,29.18,31.94,16.39,30.05,10.54,wet,36.87,37.081,2.508,8.972,19971.72,521593.85,2162.03,1167.2,211844.47,162221.33,314491.59,308107.22,joints12,0.9797,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0066,67.02,196.81,68.12,343.36,52.6,252.19,2.58,249.12,18.12,26.535,32.87,28.77,19.21,29.05,16.4,wet,29.16,34.926,269.79,17.604,247.3,6562.2,134.17,109.14,1905.08,2558.59,3757.01,8974.27,joints12,2.3887,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0067,69.19,8.5,54.96,87.56,65.49,60.63,11.44,61.63,36.53,24.93,15.86,25.04,48.82,38.87,4.67,wet,16.73,53.867,68.011,7.386,1689.72,42124.16,257.69,506.6,3003.55,12786.53,34021.77,40526.04,joints12,1.1912,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0068,41.96,30.93,43.3,114.08,71.03,72.53,3.32,67.25,32.35,22.67,18.76,25.67,42.49,32.54,11.84,wet,37.584,34.361,70.147,2.381,17047.24,386466.07,1423.16,1372.92,135347.84,116621.01,218124.2,224497.62,joints12,1.0292,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0069,45.31,273.1,71.27,41.29,57.3,346.8,15.8,343.23,23.38,26.119,28.48,29.58,37.14,29.32,16.93,wet,38.828,32.647,323.18,23.616,1846.3,48223.24,441.11,385.81,21118.24,7590.06,26014.37,43144.0,joints12,1.6585,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0070,41.36,194.41,68.06,296.84,63.46,236.73,19.88,243.8,15.33,24.075,30.18,36.53,47.18,33.33,8.2,wet,12.325,37.112,224.625,12.101,914.83,22024.54,298.42,177.32,11988.43,3720.52,13289.1,28698.8,joints12,2.1596,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0072,61.51,97.04,60.56,243.03,74.45,179.43,18.34,174.15,35.78,24.816,6.33,28.49,27.48,26.78,4.26,wet,14.966,28.05,170.895,8.535,28852.45,716014.34,2812.59,3043.35,525291.12,532794.3,336694.51,655402.22,joints12,1.9466,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0073,63.61,316.96,49.96,31.02,58.85,355.93,12.38,343.29,22.2,23.826,0.89,38.06,26.68,38.29,0.0,dry,0.0,48.745,12.707,16.781,253.28,6034.6,103.58,127.89,1098.12,3345.93,4536.71,7005.04,joints12,1.5441,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0074,71.23,224.6,49.33,316.04,74.44,278.42,12.3,263.61,28.63,24.994,28.4,32.16,17.94,27.02,0.0,dry,0.0,46.931,293.844,15.426,3469.42,86713.99,396.53,601.83,17214.74,53153.77,63347.46,59992.34,joints12,0.947,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0075,69.25,352.12,50.52,123.26,45.4,70.68,2.12,69.93,37.09,22.542,35.39,27.41,32.04,37.49,12.73,wet,46.327,34.893,67.592,3.09,1728.95,38974.76,342.5,515.54,5053.5,5996.05,22295.53,35857.82,joints12,1.6083,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
